f_n,d,N,pi_s,max_d,emp_d
102,10,20000,1.0,0.027895611869667082,0.07424159383431644
103,10,20000,1.0,0.030898703611859243,0.06903382382055961
104,10,20000,1.0,0.027265678106092754,0.07012982515744874
105,10,20000,1.0,0.0325356376019271,0.07295460712192117
106,10,20000,1.0,0.030861306452170403,0.07587819334588379
107,10,20000,1.0,0.03152428536992959,0.07449206392568683
108,10,20000,1.0,0.029831809199800878,0.07346805273141534
109,10,20000,1.0,0.02853168563791773,0.07143550683349814
110,10,20000,1.0,0.029816653605730593,0.07537397554425523
111,10,20000,1.2,0.0324017001257114,0.08099403379643211
112,10,20000,1.2,0.030167276311106113,0.08481272031525389
113,10,20000,1.2,0.0315961401117979,0.08105908213522574
114,10,20000,1.2,0.03309624313883627,0.08546839978211858
115,10,20000,1.2,0.03598122579404886,0.08661635111512588
116,10,20000,1.2,0.033445758082500415,0.08316314476590313
117,10,20000,1.2,0.03379172004643864,0.08688462644141602
118,10,20000,1.2,0.0322921065007249,0.08546504157788003
119,10,20000,1.2,0.03524239656314817,0.08363898135125433
120,10,20000,1.2,0.034356709693362325,0.08385668207527902
121,10,20000,1.4,0.03616572930982979,0.0889490488986444
122,10,20000,1.4,0.03456285729718935,0.08942208850131869
123,10,20000,1.4,0.03300354973492009,0.08407052893766861
124,10,20000,1.4,0.03368832186108118,0.08941919510283278
125,10,20000,1.4,0.03800103475087486,0.08817661255182134
126,10,20000,1.4,0.0465097761130154,0.06664892914248692
127,10,20000,1.4,0.03627395532333523,0.08905200530153651
128,10,20000,1.4,0.038030207038571705,0.08971322301014635
129,10,20000,1.4,0.03544391044652506,0.0857597329532742
130,10,20000,1.4,0.03819055956261375,0.090984042293135
131,10,20000,1.6,0.03486472686864943,0.08947893492942186
132,10,20000,1.6,0.08093139404355887,0.07152930692434724
133,10,20000,1.6,0.03480115367477238,0.0857857286612191
134,10,20000,1.6,0.03843372465477391,0.09031606564574182
135,10,20000,1.6,0.037907854591575696,0.0849254424886808
136,10,20000,1.6,0.0373515944783374,0.08941687432273342
137,10,20000,1.6,0.03857287784257165,0.09022064605788561
138,10,20000,1.6,0.04852043298898054,0.08816794212433345
139,10,20000,1.6,0.037462514903998455,0.08812408300153061
140,10,20000,1.6,0.03947353614185108,0.09060351860450594
141,10,20000,1.8,0.03636679263295847,0.08632977433064246
142,10,20000,1.8,0.07022374321818906,0.07704356872440658
143,10,20000,1.8,0.03848574348691715,0.06831825381392567
144,10,20000,1.8,0.03844325647873406,0.0878185936617454
145,10,20000,1.8,0.04133241459902664,0.09020177348599372
